code,tax_country_id,tax_region_id,tax_postcode,rate,zip_is_range,zip_from,zip_to
EU-AT-Standard,AT,*,*,20,,,
EU-AT-Reduced-10,AT,*,*,10,,,
EU-AT-Reduced-13,AT,*,*,13,,,
EU-AT-Parking,AT,*,*,13,,,
EU-BE-Standard,BE,*,*,21,,,
EU-BE-Reduced-6,BE,*,*,6,,,
EU-BE-Reduced-12,BE,*,*,12,,,
EU-BE-Parking,BE,*,*,12,,,
EU-BG-Standard,BG,*,*,20,,,
EU-BG-Reduced,BG,*,*,9,,,
EU-CY-Standard,CY,*,*,19,,,
EU-CY-Reduced-5,CY,*,*,5,,,
EU-CY-Reduced-9,CY,*,*,9,,,
EU-CZ-Standard,CZ,*,*,21,,,
EU-CZ-Reduced-12,CZ,*,*,12,,,
EU-CZ-Zero,CZ,*,*,0,,,
EU-DE-Standard,DE,*,*,19,,,
EU-DE-Reduced,DE,*,*,7,,,
EU-DK-Standard,DK,*,*,25,,,
EU-DK-Zero,DK,*,*,0,,,
EU-EE-Standard,EE,*,*,24,,,
EU-EE-Reduced,EE,*,*,9,,,
EU-ES-Standard,ES,*,*,21,,,
EU-ES-Reduced,ES,*,*,10,,,
EU-FI-Standard,FI,*,*,25.5,,,
EU-FI-Reduced-10,FI,*,*,10,,,
EU-FI-Reduced-14,FI,*,*,14,,,
EU-FR-Standard,FR,*,*,20,,,
EU-FR-Reduced-5.5,FR,*,*,5.5,,,
EU-FR-Reduced-10,FR,*,*,10,,,
EU-FR-Super-Reduced,FR,*,*,2.1,,,
EU-GR-Standard,GR,*,*,24,,,
EU-GR-Reduced-6,GR,*,*,6,,,
EU-GR-Reduced-13,GR,*,*,13,,,
EU-HR-Standard,HR,*,*,25,,,
EU-HR-Reduced-5,HR,*,*,5,,,
EU-HR-Reduced-13,HR,*,*,13,,,
EU-HU-Standard,HU,*,*,27,,,
EU-HU-Reduced-5,HU,*,*,5,,,
EU-HU-Reduced-18,HU,*,*,18,,,
EU-IE-Standard,IE,*,*,23,,,
EU-IE-Reduced-9,IE,*,*,9,,,
EU-IE-Reduced-13.5,IE,*,*,13.5,,,
EU-IE-Super-Reduced,IE,*,*,4.8,,,
EU-IT-Standard,IT,*,*,22,,,
EU-IT-Reduced-5,IT,*,*,5,,,
EU-IT-Reduced-10,IT,*,*,10,,,
EU-IT-Super-Reduced,IT,*,*,4,,,
EU-LT-Standard,LT,*,*,21,,,
EU-LT-Reduced-5,LT,*,*,5,,,
EU-LT-Reduced-9,LT,*,*,9,,,
EU-LU-Standard,LU,*,*,17,,,
EU-LU-Reduced,LU,*,*,8,,,
EU-LU-Super-Reduced,LU,*,*,3,,,
EU-LU-Parking,LU,*,*,14,,,
EU-LV-Standard,LV,*,*,21,,,
EU-LV-Reduced-5,LV,*,*,5,,,
EU-LV-Reduced-12,LV,*,*,12,,,
EU-MT-Standard,MT,*,*,18,,,
EU-MT-Reduced-5,MT,*,*,5,,,
EU-MT-Reduced-7,MT,*,*,7,,,
EU-NL-Standard,NL,*,*,21,,,
EU-NL-Reduced,NL,*,*,9,,,
EU-PL-Standard,PL,*,*,23,,,
EU-PL-Reduced-5,PL,*,*,5,,,
EU-PL-Reduced-8,PL,*,*,8,,,
EU-PT-Standard,PT,*,*,23,,,
EU-PT-Reduced-6,PT,*,*,6,,,
EU-PT-Reduced-13,PT,*,*,13,,,
EU-PT-Parking,PT,*,*,13,,,
EU-RO-Standard,RO,*,*,21,,,
EU-RO-Reduced,RO,*,*,11,,,
EU-SE-Standard,SE,*,*,25,,,
EU-SE-Reduced-6,SE,*,*,6,,,
EU-SE-Reduced-12,SE,*,*,12,,,
EU-SI-Standard,SI,*,*,22,,,
EU-SI-Reduced-5,SI,*,*,5,,,
EU-SI-Reduced-9.5,SI,*,*,9.5,,,
EU-SK-Standard,SK,*,*,23,,,
EU-SK-Reduced-5,SK,*,*,5,,,
EU-SK-Reduced-19,SK,*,*,19,,,
